0.284 (0.284)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_winning_work/awards_won./award/award_honor/award, /award/award_category/winners./award/award_honor/award_winner
0.065 (0.065)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/music/instrument/instrumentalists, /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.061 (0.061)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/dataworld/gardening_hint/split_to, /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.060 (0.060)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /tv/tv_program/languages, /tv/tv_network/programs./tv/tv_network_duration/program
0.059 (0.059)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, /tv/tv_network/programs./tv/tv_network_duration/program
0.058 (0.058)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /medicine/symptom/symptom_of, /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/music/group_member/membership./music/group_membership/group, inv_/education/university/international_tuition./measurement_unit/dated_money_value/currency
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/people/ethnicity/languages_spoken
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/education/university/international_tuition./measurement_unit/dated_money_value/currency, inv_/people/ethnicity/languages_spoken
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/education/university/international_tuition./measurement_unit/dated_money_value/currency, inv_/organization/organization/headquarters./location/mailing_address/state_province_region
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, /tv/tv_program/languages
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/music/group_member/membership./music/group_membership/group, /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/music/group_member/membership./music/group_membership/group, /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club
0.003 (0.003)	/business/job_title/people_with_this_title./business/employment_tenure/company <-- inv_/education/university/international_tuition./measurement_unit/dated_money_value/currency, inv_/music/group_member/membership./music/group_membership/group
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/film/film/edited_by, inv_/influence/influence_node/influenced_by
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/broadcast/content/artist, inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, /influence/influence_node/influenced_by
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/people/deceased_person/place_of_death, inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/film/film/edited_by, inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/broadcast/content/artist, /influence/influence_node/influenced_by
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/people/deceased_person/place_of_death, /influence/influence_node/influenced_by
0.003 (0.003)	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft <-- inv_/broadcast/content/artist, inv_/influence/influence_node/influenced_by
0.056 (0.056)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/location/country/capital, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.054 (0.054)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/base/popstra/celebrity/friendship./base/popstra/friendship/participant, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.061 (0.061)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- /music/group_member/membership./music/group_membership/group, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.055 (0.055)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- /government/politician/government_positions_held./government/government_position_held/legislative_sessions, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.054 (0.054)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/user/ktrueman/default_domain/international_organization/member_states, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.058 (0.058)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/film/film/production_companies, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.053 (0.053)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/base/aareas/schema/administrative_area/administrative_parent, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.052 (0.052)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.052 (0.052)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/olympics/olympic_games/sports, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.052 (0.052)	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film <-- inv_/sports/sports_team/roster./american_football/football_historical_roster_position/position_s, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/base/culturalevent/event/entity_involved
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, /government/political_party/politicians_in_this_party./government/political_party_tenure/politician
0.004 (0.004)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- inv_/broadcast/content/artist, inv_/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- inv_/broadcast/content/artist, inv_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/education/university/fraternities_and_sororities
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/film/film/prequel
0.003 (0.003)	/education/university/local_tuition./measurement_unit/dated_money_value/currency <-- /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club, inv_/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office
0.119 (0.119)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.087 (0.087)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- inv_/music/performance_role/track_performances./music/track_contribution/role, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.082 (0.082)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program, inv_/award/award_winner/awards_won./award/award_honor/award_winner
0.081 (0.081)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- /film/film/prequel, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.088 (0.088)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- inv_/music/performance_role/regular_performances./music/group_membership/role, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.100 (0.100)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- inv_/music/artist/track_contributions./music/track_contribution/role, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.084 (0.084)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.081 (0.081)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- inv_/music/artist/contribution./music/recording_contribution/performance_role, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.074 (0.074)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- /music/instrument/family, /award/award_nominee/award_nominations./award/award_nomination/award_nominee
0.076 (0.076)	/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program <-- /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program, /award/award_winner/awards_won./award/award_honor/award_winner
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/edited_by, /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/edited_by, /organization/organization/headquarters./location/mailing_address/citytown
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/organization/organization_founder/organizations_founded, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/other_crew./film/film_crew_gig/crewmember, inv_/film/film/edited_by
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/organization/organization_founder/organizations_founded, inv_/film/film/production_companies
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/edited_by, /people/deceased_person/place_of_death
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/sports/sports_league/teams./sports/sports_league_participation/team, inv_/film/film/edited_by
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/produced_by, inv_/film/film/edited_by
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/film/film/production_companies, inv_/film/film/edited_by
0.004 (0.004)	/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity <-- inv_/location/administrative_division/country, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.009 (0.009)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/people/person/sibling_s./people/sibling_relationship/sibling
0.009 (0.009)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/location/administrative_division/country
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/organization/role/leaders./organization/leadership/organization
0.010 (0.010)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, /base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/broadcast/content/artist
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/people/deceased_person/place_of_death
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/music/group_member/membership./music/group_membership/group
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue
0.008 (0.008)	/film/film/film_art_direction_by <-- /government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/base/biblioness/bibs_location/state
0.017 (0.017)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/base/aareas/schema/administrative_area/administrative_parent, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.017 (0.017)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.017 (0.017)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/user/ktrueman/default_domain/international_organization/member_states, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/film/film/release_date_s./film/film_regional_release_date/film_release_region, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- /location/administrative_division/country, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- /base/biblioness/bibs_location/country, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.016 (0.016)	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office <-- inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants, /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
0.588 (0.588)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, /location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
0.625 (0.625)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, inv_/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country
0.621 (0.621)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.584 (0.584)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, /military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.568 (0.568)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, inv_/location/location/adjoin_s./location/adjoining_relationship/adjoins
0.537 (0.537)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /tv/tv_program/program_creator, inv_/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country
0.544 (0.544)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics, inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.534 (0.534)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics, /location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
0.530 (0.530)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- inv_/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country, inv_/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country
0.511 (0.511)	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics <-- /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics, /location/location/adjoin_s./location/adjoining_relationship/adjoins
0.007 (0.007)	/location/country/form_of_government <-- inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants, inv_/music/instrument/instrumentalists
0.007 (0.007)	/location/country/form_of_government <-- inv_/award/award_winning_work/awards_won./award/award_honor/award_winner, /military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.008 (0.008)	/location/country/form_of_government <-- inv_/location/location/adjoin_s./location/adjoining_relationship/adjoins, /location/country/form_of_government
0.010 (0.010)	/location/country/form_of_government <-- inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants, /location/country/form_of_government
0.007 (0.007)	/location/country/form_of_government <-- inv_/award/award_winner/awards_won./award/award_honor/award_winner, /military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.007 (0.007)	/location/country/form_of_government <-- inv_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants, inv_/business/job_title/people_with_this_title./business/employment_tenure/company
0.007 (0.007)	/location/country/form_of_government <-- inv_/base/culturalevent/event/entity_involved, /location/country/form_of_government
0.007 (0.007)	/location/country/form_of_government <-- inv_/music/instrument/family, /military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.007 (0.007)	/location/country/form_of_government <-- inv_/broadcast/content/artist, /military/military_combatant/military_conflicts./military/military_combatant_group/combatants
0.006 (0.006)	/location/country/form_of_government <-- inv_/people/ethnicity/geographic_distribution, /location/country/form_of_government
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/people/profession/specialization_of, inv_/medicine/disease/risk_factors
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/medicine/disease/risk_factors, /sports/sports_league/teams./sports/sports_league_participation/team
0.004 (0.004)	/location/country/second_level_divisions <-- inv_/medicine/disease/risk_factors, inv_/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/medicine/disease/risk_factors, inv_/medicine/disease/risk_factors
0.004 (0.004)	/location/country/second_level_divisions <-- inv_/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for, inv_/medicine/disease/risk_factors
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/medicine/disease/risk_factors, inv_/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee
0.004 (0.004)	/location/country/second_level_divisions <-- inv_/medicine/disease/risk_factors, inv_/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation, inv_/medicine/disease/risk_factors
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee, inv_/medicine/disease/risk_factors
0.003 (0.003)	/location/country/second_level_divisions <-- inv_/medicine/disease/notable_people_with_this_condition, inv_/medicine/disease/risk_factors
0.003 (0.003)	/film/film/edited_by <-- inv_/broadcast/content/artist, inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.003 (0.003)	/film/film/edited_by <-- inv_/film/film/other_crew./film/film_crew_gig/crewmember, inv_/broadcast/content/artist
